Site,Metric,Change,SE,P_value
Colfax,ShanHill,-0.691,1.53,0.656
Greeley,ShanHill,0.109,1.53,0.944
Howard,ShanHill,-1.15,1.53,0.46
Merrick,ShanHill,2.1,1.53,0.184
ENREC,ShanHill,-1.34,1.31,0.581
SCAL - Rye,ShanHill,-1.43,1.31,0.543
SCAL - Hairy Vetch,ShanHill,-1.28,1.31,0.611
Colfax,Richness,-1,1.65,0.55
Greeley,Richness,-0.25,1.65,0.881
Howard,Richness,-2.75,1.65,0.11
Merrick,Richness,-1.25,1.65,0.456
ENREC,Richness,-1.67,1.68,0.597
SCAL - Rye,Richness,-1.67,1.68,0.597
SCAL - Hairy Vetch,Richness,-1,1.68,0.825
Colfax,Evenness,-0.192,0.121,0.126
Greeley,Evenness,-0.0478,0.0956,0.623
Howard,Evenness,-0.0279,0.0956,0.773
Merrick,Evenness,0.172,0.0956,0.0874
ENREC,Evenness,-0.0629,0.172,0.929
SCAL - Rye,Evenness,-0.0846,0.148,0.838
SCAL - Hairy Vetch,Evenness,-0.108,0.148,0.752
