overview,Treatment,Site,Rep,shan_div,shan_hill,richness,evenness
Colfax_Check_1,Check,Colfax,1,0.257318641,1.293457209,2,0.371232327
Colfax_Check_2,Check,Colfax,2,0,1,1,
Colfax_Check_3,Check,Colfax,3,0,1,1,
Colfax_Check_4,Check,Colfax,4,0.901315398,2.462840597,4,0.650161628
Colfax_Cover_1,Cover,Colfax,1,0.936888308,2.552027924,3,0.852792488
Colfax_Cover_2,Cover,Colfax,2,0.655975732,1.927021858,3,0.597094843
Colfax_Cover_3,Cover,Colfax,3,0.53596105,1.709089974,3,0.487852771
Colfax_Cover_4,Cover,Colfax,4,0.846814381,2.332205487,3,0.770803667
Greeley_Check_1,Check,Greeley,1,2.643428155,14.06132547,16,0.953415172
Greeley_Check_2,Check,Greeley,2,1.950483823,7.032089045,18,0.674821091
Greeley_Check_3,Check,Greeley,3,1.765552118,5.844798486,15,0.651964324
Greeley_Check_4,Check,Greeley,4,1.090830319,2.976744695,12,0.438982414
Greeley_Cover_1,Cover,Greeley,1,1.602141679,4.963651595,9,0.729166101
Greeley_Cover_2,Cover,Greeley,2,1.823057513,6.190757867,19,0.619152758
Greeley_Cover_3,Cover,Greeley,3,2.327300399,10.25023261,16,0.839396186
Greeley_Cover_4,Cover,Greeley,4,2.088652237,8.074025952,18,0.722624081
Howard_Check_1,Check,Howard,1,2.000386571,7.391913045,11,0.834225995
Howard_Check_2,Check,Howard,2,1.611155459,5.008595112,13,0.628143185
Howard_Check_3,Check,Howard,3,1.475734202,4.374246173,15,0.544943443
Howard_Check_4,Check,Howard,4,1.434527751,4.197662197,11,0.598244538
Howard_Cover_1,Cover,Howard,1,1.769738637,5.869319135,14,0.670594995
Howard_Cover_2,Cover,Howard,2,1.790418752,5.991961088,17,0.631939263
Howard_Cover_3,Cover,Howard,3,1.781270043,5.937392378,14,0.674964512
Howard_Cover_4,Cover,Howard,4,2.051222234,7.777401106,16,0.739822036
Merrick_Check_1,Check,Merrick,1,1.83450549,6.262036741,13,0.71522094
Merrick_Check_2,Check,Merrick,2,0.880468087,2.41202848,10,0.382382431
Merrick_Check_3,Check,Merrick,3,1.638252664,5.146169563,13,0.638707606
Merrick_Check_4,Check,Merrick,4,2.115969994,8.297630515,12,0.851528968
Merrick_Cover_1,Cover,Merrick,1,1.403819072,4.070716677,16,0.506320703
Merrick_Cover_2,Cover,Merrick,2,1.060559647,2.88798679,11,0.442287726
Merrick_Cover_3,Cover,Merrick,3,1.294952668,3.65082317,15,0.47818636
Merrick_Cover_4,Cover,Merrick,4,1.131469104,3.100207682,11,0.471859266
