,Treatment,Site,Season,response,SE,df,asymp.LCL,asymp.UCL
1,Check,ENREC,Early,0.720596083,0.346549132,Inf,0.370946801,12.55088917
2,Rye,ENREC,Early,0.433387883,0.169372673,Inf,0.245409958,1.851888135
3,Vetch,ENREC,Early,0.208740154,0.085953068,Inf,0.115513961,1.081867063
4,Check,SCAL,Early,0.856316929,0.516558298,Inf,0.392389387,Inf
5,Rye,SCAL,Early,0.455032624,0.198178401,Inf,0.245483934,3.108458061
6,Vetch,SCAL,Early,0.572049135,0.684581621,Inf,0.170989367,Inf
7,Check,ENREC,Late,0.758413499,0.383601953,Inf,0.380855761,87.58161892
8,Rye,ENREC,Late,0.205502462,0.051259042,Inf,0.138024941,0.402062402
9,Vetch,ENREC,Late,0.201990892,0.08052248,Inf,0.113393423,0.923716758
10,Check,SCAL,Late,2.837634916,5.460151722,Inf,0.5947243,Inf
11,Rye,SCAL,Late,1.253369811,1.413121168,Inf,0.390485127,Inf
12,Vetch,SCAL,Late,1.038733454,2.247004419,Inf,0.198238208,Inf
